bbl,property_id,address,NAME,block,lot,Postal Code,latitude,longitude,ownername,bldgclass,yearbuilt,yearalter1,numfloors,unitstotal,Occupancy,Height Roof,Property GFA - Self-Reported (ft²),bldgarea,conditioned_office_sqft,Office - Gross Floor Area (ft²),officearea,Office - Weekly Operating Hours,Office - Number of Workers on Main Shift,ClosestIAQSensorSite,DistanceToClosestSensor_ft,DistanceToClosestSensor_miles,DOITT_ID,OBJECTID,the_geom,SHAPE_AREA,Feature Code,Length,Geometry Source
1008410054,12793,"8 W 40th St, New York, NY 10018",AB 40th Street LLC,841,54,10018,40.7523128,-73.9826863,"AB 40TH STREET, LLC",O4,1913,1987,23,1,100,290.98,121758,121758,121758,121758,121758,62.275,225,Queensboro Bridge,1538.8,0.29,399891,722492,"MULTIPOLYGON (((-73.98250269502 40.752385443778, -73.982647338927 40.752184297147, -73.982659456145 40.752189336402, -73.982848364918 40.752267895997, -73.982696539347 40.752479029309, -73.982617129545 40.752445626598, -73.982496043602 40.752394693664, -73.98250269502 40.752385443778)))",900.34375,2100,121.595163,Photogrammetric
1008500025,10550259,"33 E 21st St, New York, NY 10010","LF Gramercy Property Co., LLC",850,25,10010,40.7395532,-73.9882757,LF GRAMERCY PROPERTYCO.,O6,1903,1986,10,1,100,127.43,,100000,85000,,,62.275,225,Queensboro Bridge,4061.9,0.77,71159,676776,"MULTIPOLYGON (((-73.988046903881 40.739629611905, -73.988021482327 40.739618699616, -73.988164547204 40.739425883332, -73.9881927134 40.739387922627, -73.988387544255 40.739471555455, -73.988359560501 40.739509270387, -73.988354903314 40.73950727169, -73.988325897563 40.739546364287, -73.988289783644 40.739530861987, -73.988229652289 40.739611905134, -73.988265766238 40.739627407453, -73.988214618141 40.739696341482, -73.988211656446 40.739700333128, -73.988115356494 40.739658995343, -73.988046903881 40.739629611905)))",887.0820313,2100,136.8887899,Photogrammetric
1008550016,1836947,"53 E 25th St, New York, NY 10010",M874 (OECID: 0101374; BBL: 1008550016),855,16,10010,40.741886,-73.9858033,352 PARK AVE SOUTH LLC,O3,1913,1979,16,1,100,214.57,,185000,157250,,,62.275,225,Queensboro Bridge,3258,0.62,635977,740698,"MULTIPOLYGON (((-73.985681869217 40.741988560658, -73.985367699438 40.741856188044, -73.985402365569 40.741808590731, -73.985590547079 40.74188787977, -73.985635623482 40.741906871694, -73.985724253662 40.741785182766, -73.985772752188 40.741718595357, -73.986088018374 40.74185142806, -73.986085473313 40.741854921721, -73.986053942493 40.741898214294, -73.985971361014 40.742011599733, -73.985948071635 40.742043576606, -73.985785562359 40.741975105514, -73.98570527878 40.741998424118, -73.985681869217 40.741988560658)))",1652.292969,2100,214.9652116,Photogrammetric
1008570062,2814446,"72 Madison Ave, New York, NY 10016",TMG - 72 Madison Avenue,857,62,10016,40.7438677,-73.9861385,SHARIM INC,O6,1911,1955,12,1,100,151.35,,58500,49725,,,62.275,225,Queensboro Bridge,2530.6,0.48,129849,164796,"MULTIPOLYGON (((-73.98594677836 40.743870002876, -73.985997630018 40.743801403947, -73.986033432308 40.743753106901, -73.98604088133 40.743756301002, -73.9860683866 40.743768094669, -73.986341430772 40.743885169857, -73.986254781928 40.744002067864, -73.98594677836 40.743870002876)))",776.0703125,2100,118.1910719,Photogrammetric
1008580049,1634627,"38 E 29th St, New York, NY 10016",PRD Realty - 38 East 29th Street,858,49,10016,40.7440569,-73.9844712,EAST 29 ASSOCIATES LLC,O3,1919,1986,10,1,100,119.44,,62100,52785,,,62.275,225,Queensboro Bridge,2590,0.49,590979,403910,"MULTIPOLYGON (((-73.984290008764 40.744137052095, -73.984293230306 40.744132556303, -73.984386203589 40.744002814, -73.984415030338 40.743962586856, -73.984430785013 40.743940601309, -73.984624692221 40.744020979587, -73.984483916373 40.744217430608, -73.984292461774 40.744138069102, -73.984292362328 40.744138027665, -73.984290008764 40.744137052095)))",808.140625,2100,114.899282,Photogrammetric
1008580078,8523,"259 5 Ave, New York, NY 10016",Feil - 261 Fifth Avenue,858,78,10016,40.7449464,-73.9865822,261 FIFTH AVENUE TIC,O4,1928,2003,25,1,100,332.1716871,444716,444716,362860,362860,362860,62.275,225,Queensboro Bridge,2122.1,0.4,310700,397036,"MULTIPOLYGON (((-73.986274648376 40.744898132199, -73.986354626936 40.744790379851, -73.986374085622 40.744764163898, -73.9864327992 40.744789372411, -73.986470681386 40.744738333438, -73.986522403994 40.744760539696, -73.986694304245 40.744834343606, -73.986917617563 40.744930220029, -73.986744115231 40.745163978962, -73.986743332385 40.745165031564, -73.986687842165 40.745141206761, -73.986509755176 40.745064747426, -73.986237682631 40.744947935721, -73.986274648376 40.744898132199)))",2496.285156,2100,208.5620682,Photogrammetric
1008590039,6132,"424 Park Ave South, New York, NY 10016",424 Park Avenue South,859,39,10016,40.7442544,-73.983771,"432 PARK SOUTH REALTY COMPANY,",O6,1913,0,16,1,100,225.87,126784,126784,126784,126784,126784,62.275,225,Queensboro Bridge,2600.2,0.49,419330,417791,"MULTIPOLYGON (((-73.983539742517 40.744344718586, -73.98372735178 40.744087015663, -73.983983699726 40.744194968339, -73.98387259275 40.744347586055, -73.983839999247 40.744333859563, -73.983780127805 40.744416100745, -73.983748365373 40.744402724642, -73.983731733989 40.744425569955, -73.983539742517 40.744344718586)))",1323.070313,2100,151.7817085,Photogrammetric
1008610015,13175,"134 Madison Ave, New York, NY 10016",136 Madison Avenue,861,15,10016,40.7462472,-73.9844671,136 MADISON ASSOCIATES L.P.,O6,1916,2008,16,1,100,172,255447,255447,229902,229902,229902,62.275,225,Queensboro Bridge,1867.1,0.35,23236,400596,"MULTIPOLYGON (((-73.984366467097 40.74658338005, -73.984448561724 40.746471370841, -73.9845202344 40.746373580973, -73.984593773877 40.746404757366, -73.984593238522 40.746405487605, -73.984440006734 40.74661455654, -73.984366467097 40.74658338005)))",330.7734375,2100,89.28305068,Photogrammetric
1008610044,19637,"462 Park Ave South, New York, NY 10016",470 Park Ave S,861,44,10016,40.7455992,-73.9828468,470 PARK AVE SOUTH LLC,O6,1925,1988,17,1,100,245.4182481,271615,271615,271615,271615,271615,62.275,225,Queensboro Bridge,2310.5,0.44,748798,118119,"MULTIPOLYGON (((-73.982858883717 40.745607786297, -73.982672806952 40.745529647604, -73.982823649734 40.745321869257, -73.982831361619 40.745325107728, -73.982977485046 40.745386469233, -73.983145873137 40.74545717927, -73.983056726318 40.745579975501, -73.983014680979 40.745637891702, -73.982878533681 40.745580719987, -73.982858883717 40.745607786297)))",1350.296875,2100,151.7081622,Photogrammetric
1008610049,13184,"38 E 32nd St, New York, NY 10016",38 East 32nd Street,861,49,10016,40.7459259,-73.9831571,38E32 STREET LLC,O6,1912,0,12,1,100,151.98,88000,88000,80000,80000,80000,62.275,225,Queensboro Bridge,2163.8,0.41,580554,239079,"MULTIPOLYGON (((-73.982961486157 40.745999113104, -73.983121866242 40.745778196497, -73.983131130956 40.745765435873, -73.983351792025 40.745858095895, -73.983338089245 40.745876971236, -73.983186267272 40.746086099957, -73.983185785202 40.74608676446, -73.983182148949 40.746091773448, -73.982961486157 40.745999113104)))",1100.527344,2100,134.5417562,Photogrammetric
