bbl,Submission Date,Heating System Type,Cooling System Type,Has Building Automation,Heating Automation,Cooling Automation
1013050013,2015,District Steam,Plant,yes,yes,yes
1013050040,2015,District Steam,Plant,yes,yes,yes
1013050060,2015,District Steam,Plant,yes,yes,yes
1013070001,2013,District Steam,Plant,yes,yes,yes
1013070014,2017,District Steam,DX Cooling,yes,yes,yes
1013080033,2018,District Steam,Plant,yes,yes,yes
1013090023,2019,District Steam,Plant,yes,yes,yes
1013090032,2023,District Steam,DX Cooling,yes,yes,yes
1013090066,2020,Boiler (Gas),DX Cooling,yes,yes,yes
1013100041,2021,Boiler (Elec),Plant,yes,yes,yes
1013120024,2023,Boiler (Elec),DX Cooling,yes,yes,no
1013120041,2023,District Steam,Plant,yes,yes,yes
1013130005,2024,Boiler (Gas),Plant,yes,yes,yes
1013130014,2023,District Steam,DX Cooling,yes,yes,no
1013150001,2015,District Steam,Plant,yes,yes,yes
1013160001,2016,District Steam,Plant,yes,yes,yes
1013170001,2017,District Steam,Plant,yes,yes,yes
1013170021,2017,District Steam,Plant,yes,yes,yes
1013180001,2018,District Steam,Plant,yes,yes,yes
1013180033,2018,Boiler (Fuel Oil),DX Cooling,yes,yes,yes
1013200046,2022,Boiler (Elec),DX Cooling,yes,yes,yes
1013210001,2024,District Steam,Plant,yes,yes,yes
1013210022,2021,District Steam,Plant,yes,yes,yes
1013210047,2022,Boiler (Gas),Plant,yes,yes,yes
1013220001,2023,District Steam,Plant,yes,yes,yes
1013250001,2015,District Steam,Plant,yes,yes,yes
1013260001,2016,District Steam,Plant,yes,yes,yes
1013280001,2018,District Steam,Plant,yes,yes,yes
1013290001,2024,District Steam,Plant,yes,yes,yes
1013740014,2024,District Steam,Plant,yes,no,yes
1013740060,2015,District Steam,Plant,yes,yes,yes
1013750016,2015,Boiler (Gas),Plant,yes,yes,no
1013750021,2015,District Steam,Plant,yes,yes,yes
1013910014,2022,District Steam,DX Cooling,yes,no,no
1013940013,2015,District Steam,DX Cooling,yes,yes,yes
1013950017,2016,Boiler (Gas),Plant,yes,yes,yes
1014350044,2015,Boiler (Fuel Oil),DX Cooling,yes,yes,yes
1017740056,2014,Boiler (Elec),DX Cooling,yes,yes,yes
1018840001,2018,Boiler (Gas),DX Cooling,yes,yes,no
1019860065,2016,Boiler (Gas),Plant,no,no,no
1019980017,2018,Boiler (Gas),Plant,no,no,no
1021240043,2013,Boiler (Gas),DX Cooling,yes,yes,yes
1000160260,2016,District Steam,Plant,yes,yes,no
1000290073,2019,District Steam,DX Cooling,yes,yes,no
1000400003,2020,District Steam,Plant,yes,yes,yes
1000480001,2018,District Steam,Plant,yes,yes,yes
1000510007,2021,Boiler (Elec),DX Cooling,no,no,no
1000640012,2024,District Steam,DX Cooling,yes,no,no
1000680011,2018,District Steam,DX Cooling,yes,no,no
1000770008,2017,District Steam,Plant,yes,yes,no
1000880010,2018,District Steam,DX Cooling,yes,yes,no
1000940025,2024,Boiler (Gas),Plant,yes,yes,yes
1001190001,2019,District Steam,Plant,yes,no,no
1001530001,2023,District Steam,DX Cooling,yes,yes,yes
1001540023,2024,District Steam,DX Cooling,yes,yes,yes
1001940042,2024,Boiler (Gas),DX Cooling,yes,yes,no
1004980009,2018,Boiler (Gas),DX Cooling,yes,yes,no
1005050036,2015,Boiler (Gas),Plant,yes,no,no
1005310020,2021,Boiler (Gas),DX Cooling,yes,yes,no
1005450006,2015,Boiler (Gas),Plant,yes,no,no
1005450053,2015,Boiler (Elec),DX Cooling,yes,yes,no
1005590016,2019,Boiler (Gas),Plant,yes,yes,yes
1005760046,2016,Boiler (Gas),DX Cooling,yes,no,no
1005770034,2017,District Steam,DX Cooling,yes,yes,no
1005780047,2018,Boiler (Gas),Plant,yes,yes,yes
1005970012,2017,Boiler (Gas),Plant,yes,yes,yes
1006460001,2016,Boiler (Gas),Plant,yes,yes,no
1006460019,2016,Boiler (Gas),DX Cooling,yes,yes,no
1007580082,2018,Boiler (Gas),Plant,yes,yes,yes
1007780036,2018,Boiler (Gas),Plant,yes,yes,no
1007840060,2024,Boiler (Gas),DX Cooling,yes,no,no
1007850037,2015,Boiler (Gas),DX Cooling,yes,yes,yes
1007850067,2015,Boiler (Gas),DX Cooling,yes,yes,no
1007860013,2016,Boiler (Gas),Plant,yes,yes,no
1007870044,2017,Boiler (Elec),Plant,yes,yes,no
1007880004,2018,Boiler (Gas),DX Cooling,yes,no,no
1008150001,2015,District Steam,Plant,yes,yes,no
1008190010,2019,Boiler (Gas),DX Cooling,yes,no,no
1008220052,2022,Boiler (Gas),DX Cooling,yes,no,no
1008240028,2024,Boiler (Gas),Plant,yes,yes,no
1008250012,2015,Boiler (Gas),DX Cooling,yes,yes,no
1008260046,2016,Boiler (Gas),DX Cooling,yes,yes,no
1008300062,2020,Boiler (Gas),DX Cooling,yes,yes,no
1008320017,2022,Boiler (Gas),DX Cooling,yes,yes,yes
1008330011,2023,District Steam,Plant,yes,yes,yes
1008360033,2016,Boiler (Gas),DX Cooling,yes,no,no
1008380076,2018,Boiler (Gas),DX Cooling,yes,yes,no
1008400058,2020,District Steam,DX Cooling,yes,no,no
1008400071,2020,Boiler (Gas),DX Cooling,yes,no,no
1008410049,2021,District Steam,Plant,yes,yes,no
1008440003,2024,Boiler (Gas),DX Cooling,yes,yes,no
1008500025,2020,Boiler (Gas),DX Cooling,yes,no,no
1008560009,2016,Boiler (Gas),DX Cooling,yes,yes,no
1008580006,2018,Boiler (Gas),DX Cooling,yes,yes,no
1008600001,2020,Boiler (Gas),DX Cooling,yes,yes,no
1008800014,2020,Boiler (Gas),DX Cooling,yes,yes,no
1008800084,2020,Boiler (Gas),DX Cooling,yes,yes,no
1008810001,2021,Boiler (Gas),DX Cooling,yes,no,no
1009950033,2015,District Steam,Plant,yes,yes,no
1009960001,2016,District Steam,Plant,yes,no,no
1009960029,2016,Boiler (Gas),Plant,yes,yes,yes
1009970029,2017,District Steam,Plant,yes,yes,yes
1009990019,2019,District Steam,Plant,yes,yes,yes
1010080037,2018,Boiler (Gas),DX Cooling,yes,yes,yes
1010320048,2022,Boiler (Elec),Plant,yes,yes,yes
1011050036,2015,Boiler (Gas),DX Cooling,yes,yes,no
1012670022,2017,Boiler (Gas),Plant,yes,yes,no
1012670034,2017,District Steam,DX Cooling,yes,yes,no
1012750027,2015,District Steam,Plant,yes,yes,yes
1012770014,2017,District Steam,Plant,yes,yes,yes
1012780069,2018,District Steam,Plant,yes,yes,yes
1012860043,2016,Boiler (Gas),DX Cooling,yes,yes,no
1012870052,2017,District Steam,Plant,yes,yes,yes
1012900006,2020,District Steam,DX Cooling,yes,yes,no
1012900044,2020,Boiler (Elec),DX Cooling,yes,yes,no
1012910010,2021,District Steam,Plant,yes,yes,no
1012950017,2015,District Steam,Plant,yes,yes,no
1012950058,2015,District Steam,DX Cooling,yes,no,no
1013060001,2016,District Steam,Plant,yes,yes,no
1013120015,2022,District Steam,Plant,yes,yes,yes
1013190047,2019,District Steam,Plant,yes,yes,yes
1013230047,2023,District Steam,Plant,yes,yes,yes
1013320001,2022,District Steam,Plant,yes,yes,yes
1013940001,2024,District Steam,Plant,yes,yes,no
1017750033,2015,Boiler (Gas),DX Cooling,yes,yes,no
1019670045,2017,Boiler (Gas),Plant,yes,yes,no
1005770019,2017,Boiler (Gas),DX Cooling,no,no,no
1006970056,2017,Boiler (Gas),DX Cooling,yes,yes,no
1008070028,2017,Boiler (Gas),DX Cooling,no,no,no
1022150824,2015,Boiler (Gas),DX Cooling,yes,yes,yes
