bbl,address,office_sqft,total_gross_floor_area,office_pct_of_building,elec_tariff,Office_Gas_Usage_Current_Jan_kBtu,Office_Gas_Cost_Current_Jan_USD,Office_Gas_Usage_Current_Feb_kBtu,Office_Gas_Cost_Current_Feb_USD,Office_Gas_Usage_Current_Mar_kBtu,Office_Gas_Cost_Current_Mar_USD,Office_Gas_Usage_Current_Apr_kBtu,Office_Gas_Cost_Current_Apr_USD,Office_Gas_Usage_Current_May_kBtu,Office_Gas_Cost_Current_May_USD,Office_Gas_Usage_Current_Jun_kBtu,Office_Gas_Cost_Current_Jun_USD,Office_Gas_Usage_Current_Jul_kBtu,Office_Gas_Cost_Current_Jul_USD,Office_Gas_Usage_Current_Aug_kBtu,Office_Gas_Cost_Current_Aug_USD,Office_Gas_Usage_Current_Sep_kBtu,Office_Gas_Cost_Current_Sep_USD,Office_Gas_Usage_Current_Oct_kBtu,Office_Gas_Cost_Current_Oct_USD,Office_Gas_Usage_Current_Nov_kBtu,Office_Gas_Cost_Current_Nov_USD,Office_Gas_Usage_Current_Dec_kBtu,Office_Gas_Cost_Current_Dec_USD,Office_Steam_Usage_Current_Jan_kBtu,Office_Steam_Cost_Current_Jan_USD,Office_Steam_Usage_Current_Feb_kBtu,Office_Steam_Cost_Current_Feb_USD,Office_Steam_Usage_Current_Mar_kBtu,Office_Steam_Cost_Current_Mar_USD,Office_Steam_Usage_Current_Apr_kBtu,Office_Steam_Cost_Current_Apr_USD,Office_Steam_Usage_Current_May_kBtu,Office_Steam_Cost_Current_May_USD,Office_Steam_Usage_Current_Jun_kBtu,Office_Steam_Cost_Current_Jun_USD,Office_Steam_Usage_Current_Jul_kBtu,Office_Steam_Cost_Current_Jul_USD,Office_Steam_Usage_Current_Aug_kBtu,Office_Steam_Cost_Current_Aug_USD,Office_Steam_Usage_Current_Sep_kBtu,Office_Steam_Cost_Current_Sep_USD,Office_Steam_Usage_Current_Oct_kBtu,Office_Steam_Cost_Current_Oct_USD,Office_Steam_Usage_Current_Nov_kBtu,Office_Steam_Cost_Current_Nov_USD,Office_Steam_Usage_Current_Dec_kBtu,Office_Steam_Cost_Current_Dec_USD,Office_Elec_Usage_Current_Jan_kBtu,Office_Elec_Cost_Current_Jan_USD,Office_Elec_Usage_Current_Feb_kBtu,Office_Elec_Cost_Current_Feb_USD,Office_Elec_Usage_Current_Mar_kBtu,Office_Elec_Cost_Current_Mar_USD,Office_Elec_Usage_Current_Apr_kBtu,Office_Elec_Cost_Current_Apr_USD,Office_Elec_Usage_Current_May_kBtu,Office_Elec_Cost_Current_May_USD,Office_Elec_Usage_Current_Jun_kBtu,Office_Elec_Cost_Current_Jun_USD,Office_Elec_Usage_Current_Jul_kBtu,Office_Elec_Cost_Current_Jul_USD,Office_Elec_Usage_Current_Aug_kBtu,Office_Elec_Cost_Current_Aug_USD,Office_Elec_Usage_Current_Sep_kBtu,Office_Elec_Cost_Current_Sep_USD,Office_Elec_Usage_Current_Oct_kBtu,Office_Elec_Cost_Current_Oct_USD,Office_Elec_Usage_Current_Nov_kBtu,Office_Elec_Cost_Current_Nov_USD,Office_Elec_Usage_Current_Dec_kBtu,Office_Elec_Cost_Current_Dec_USD
1013040033,"800 3 Ave, New York, NY 10022",500190.0,528180,0.947,SC9 Rate II (Large TOD),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1715394.0,61346.17,2928937.0,104745.07,2613578.0,93467.15,801575.0,28666.04,1582546.0,56595.24,2947202.0,105398.26,3900915.0,139505.08,3662627.0,130983.39,2713219.0,97030.53,1140525.0,40787.62,543414.0,19433.65,1382052.0,49425.14,2327517.0,76071.71,2220704.0,76139.5,2418171.0,74771.38,2195272.0,68583.68,2330464.0,77581.13,2376427.0,91248.57,2592541.0,100403.27,2657670.0,105638.01,2325379.0,91540.46,2309344.0,74530.33,2210015.0,73407.73,2267973.0,70301.69
1013050013,"560 Lexington Ave, New York, NY 10022",324040.0,333848,0.971,SC9 Rate I (Standard),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,761680.0,43378.76,793850.0,45210.89,483095.0,27512.95,195372.0,11126.71,89570.0,5101.14,55697.0,3172.02,44342.0,2525.34,45511.0,2591.92,43784.0,2493.56,92793.0,5284.69,286549.0,16319.37,591397.0,33680.9,846730.0,27993.27,790832.0,27437.53,857377.0,26834.33,818065.0,25872.23,913684.0,30721.42,1042900.0,40326.04,1305641.0,50813.47,1310682.0,52351.63,1069886.0,42387.71,952863.0,31046.68,812714.0,27312.14,820511.0,25753.93
1013050040,"830 3 Ave, New York, NY 10022",135157.0,150638,0.897,SC9 Rate I (Standard),65864.0,1668.86,62201.0,1576.19,61419.0,1556.4,45582.0,1155.72,29875.0,758.34,51860.0,1314.56,52018.0,1318.56,56792.0,1439.34,59076.0,1497.12,68603.0,1738.16,66786.0,1692.19,77183.0,1955.23,102459.0,5835.19,95629.0,5446.21,81968.0,4668.19,54645.0,3112.11,34153.0,1945.06,13661.0,778.01,6831.0,389.04,6831.0,389.04,13661.0,778.01,40984.0,2334.1,81968.0,4668.19,150274.0,8558.32,467572.0,15682.71,420623.0,14828.08,357899.0,11493.74,285862.0,9366.97,294143.0,10230.22,300831.0,11989.14,344636.0,13781.81,336488.0,13812.85,289112.0,11820.28,269102.0,9127.89,290980.0,10100.65,415365.0,13284.97
1013050060,"566 Lexington Ave, New York, NY 10022",361581.0,554277,0.652,SC9 Rate II (Large TOD),111156.0,2814.75,103793.0,2628.46,120139.0,3042.02,114184.0,2891.36,109899.0,2782.94,108319.0,2742.97,105360.0,2668.11,117654.0,2979.15,98963.0,2506.26,109244.0,2766.37,105745.0,2677.85,104772.0,2653.23,3131233.0,111979.61,2889370.0,103330.07,1885820.0,67440.97,586827.0,20986.19,246936.0,8830.96,246103.0,8801.17,197398.0,7059.38,72886.0,2606.56,81004.0,2896.88,493388.0,17644.61,1758466.0,62886.51,2748606.0,98296.04,1214896.0,39946.95,1150954.0,39703.42,1087012.0,33887.17,959128.0,30247.03,895186.0,30109.6,1023070.0,39568.81,1150954.0,44852.72,1150954.0,46032.84,1023070.0,40554.86,959128.0,31247.51,1023070.0,34251.58,1150954.0,35923.8
1013060001,"345 Park Ave, New York, NY 10154",1504490.0,1783232,0.844,SC9 Rate II (Large TOD),35229.0,893.79,32868.0,834.06,49752.0,1261.23,41107.0,1042.51,67806.0,1717.99,68481.0,1735.07,51431.0,1303.7,65629.0,1662.91,63191.0,1601.23,43651.0,1106.87,55659.0,1410.67,78241.0,1982.0,7496656.0,268096.49,7948792.0,284265.84,5328127.0,190545.25,4018953.0,143726.38,7562676.0,270457.51,10735490.0,383924.14,15165395.0,542347.04,15428019.0,551739.04,13098322.0,468424.08,9126483.0,326382.6,5584498.0,199713.62,6267850.0,224151.75,6914180.0,224992.25,6290179.0,214747.33,6934062.0,213469.05,7015172.0,218063.71,7324031.0,242742.36,7338151.0,280718.7,7694736.0,297012.82,7741289.0,306744.23,7390366.0,289835.52,7391822.0,237455.35,6392675.0,211389.59,6230439.0,192252.39
1013070001,"375 Park Ave, New York, NY 10152",721661.9,824906,0.875,SC9 Rate II (Large TOD),42044.0,1066.21,0.0,,0.0,,0.0,,0.0,,0.0,,1106.0,30.48,0.0,,0.0,,0.0,,0.0,,0.0,,3047586.0,108988.21,3318121.0,118663.12,2464045.0,88119.53,1561641.0,55847.63,2102234.0,75180.4,3769273.0,134797.28,5330903.0,190644.52,5473085.0,195729.25,3954533.0,141422.58,2187215.0,78219.5,1973373.0,70572.05,3093590.0,110633.41,2696218.0,88042.76,2547453.0,87268.7,2733901.0,84468.47,2561468.0,79940.56,2750011.0,91457.56,2899189.0,111210.95,3593085.0,138958.54,3426457.0,136050.96,3043654.0,119661.05,2892865.0,93235.81,2541660.0,84348.38,2585645.0,80078.51
1013070014,"600 Lexington Ave, New York, NY 10022",264196.0,305167,0.866,SC9 Rate I (Standard),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,914022.0,52054.85,788609.0,44912.41,479333.0,27298.7,175501.0,9995.03,12677.0,721.97,0.0,,0.0,,0.0,,88.0,5.01,91090.0,5187.71,376709.0,21454.11,643929.0,36672.67,980480.0,32335.89,984991.0,34050.66,1007186.0,31435.45,773547.0,24491.59,858650.0,28901.18,966852.0,37422.05,1094383.0,42672.79,1086054.0,43465.42,1022909.0,40548.55,1018725.0,33157.97,1050341.0,35151.22,1373892.0,42785.04
1013080033,"880 3 Ave, New York, NY 10022",119340.0,142235,0.839,SC9 Rate I (Standard),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,155491.0,8855.43,191770.0,10921.57,86510.0,4926.87,17078.0,972.62,2999.0,170.8,3896.0,221.88,5127.0,291.99,5673.0,323.09,3456.0,196.82,12342.0,702.89,52501.0,2990.01,115877.0,6599.36,409763.0,13805.75,339580.0,12067.72,381692.0,12224.5,359116.0,11638.8,407994.0,13995.82,473755.0,18592.47,498631.0,19715.9,487904.0,19802.81,422742.0,17051.92,396854.0,13223.14,350420.0,12061.51,310234.0,10049.41
1013090023,"641 Lexington Ave, New York, NY 10022",402935.0,431744,0.933,SC9 Rate I (Standard),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1749478.0,99635.26,1726431.0,98322.7,1277393.0,72749.35,727037.0,41405.79,439071.0,25005.72,553178.0,31504.27,757657.0,43149.64,409084.0,23297.92,337415.0,19216.26,455716.0,25953.68,883302.0,50305.31,1323359.0,75367.18,929306.0,30674.36,879488.0,30457.19,976406.0,30490.1,912294.0,28794.56,952051.0,31990.4,949174.0,36746.99,1271219.0,49487.04,1318129.0,52646.23,1114491.0,44134.0,1023631.0,33315.24,947264.0,31750.81,944441.0,29568.06
1013090032,"900 3 Ave, New York, NY 10022",509700.0,516710,0.986,SC9 Rate II (Large TOD),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1323216.0,75359.04,1342401.0,76451.65,797257.0,45404.92,144781.0,8245.48,994.0,56.61,0.0,,0.0,,529.0,30.13,1776.0,101.15,105242.0,5993.68,536907.0,30577.62,1082655.0,61658.74,1484768.0,48709.19,1339329.0,46119.54,1443655.0,44840.83,1344270.0,42191.48,1472157.0,49192.8,1592492.0,61312.96,1847915.0,71709.63,1820896.0,72535.52,1641121.0,64751.65,1469919.0,47621.54,1367840.0,45625.2,1340498.0,41757.29
1013090066,"110 E 55th St, New York, NY 10022",69350.0,73000,0.95,SC9 Rate I (Standard),118050.0,2989.16,109407.0,2770.5,109837.0,2781.38,60776.0,1540.13,46326.0,1174.55,42255.0,1071.55,45927.0,1164.45,43764.0,1109.73,41266.0,1046.53,50180.0,1272.05,92308.0,2337.89,112300.0,2843.69,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,309937.0,10564.59,292718.0,10471.58,292718.0,9491.82,275500.0,9045.61,275500.0,9613.61,292718.0,11679.33,309937.0,12444.71,309937.0,12762.5,292718.0,11961.46,275500.0,9332.99,275500.0,9589.98,292718.0,9510.33
1013100041,"160 E 56th St, New York, NY 10022",47423.0,51923,0.913,SC9 Rate I (Standard),2494.0,65.6,2312.0,60.99,2321.0,61.22,1284.0,34.99,979.0,27.27,893.0,25.09,970.0,27.04,925.0,25.9,872.0,24.56,1060.0,29.32,1950.0,51.83,2373.0,62.54,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,139685.0,5036.82,131925.0,4994.91,131925.0,4553.34,124164.0,4352.21,124164.0,4608.2,131925.0,5539.23,139685.0,5884.16,139685.0,6027.39,131925.0,5666.39,124164.0,4481.73,124164.0,4597.55,131925.0,4561.69
1013120015,"135 E 57th St, New York, NY 10022",267046.0,397354,0.672,SC9 Rate I (Standard),32965.0,836.51,35685.0,905.33,41245.0,1046.0,39905.0,1012.1,26174.0,664.7,19294.0,490.64,17068.0,434.32,14345.0,365.43,15738.0,400.67,21169.0,538.08,24879.0,631.94,28698.0,728.56,1205410.0,68649.82,1128760.0,64284.49,811435.0,46212.38,423633.0,24126.5,86075.0,4902.09,0.0,,0.0,,0.0,,5326.0,303.32,170821.0,9728.5,634389.0,36129.36,1023109.0,58267.51,822564.0,27208.64,814208.0,28233.73,847259.0,26523.57,769653.0,24370.82,791283.0,26673.03,805483.0,31259.96,894377.0,34965.7,887511.0,35611.13,837512.0,33290.23,715529.0,23438.65,685066.0,23101.16,822803.0,25824.47
1013120024,"145 E 57th St, New York, NY 10022",44873.0,58458,0.768,SC9 Rate I (Standard),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,121683.0,4452.32,114923.0,4415.82,114923.0,4031.16,102924.0,3693.49,108163.0,4078.97,114923.0,4889.99,123508.0,5260.8,123508.0,5387.43,114923.0,5000.75,108163.0,3968.8,108163.0,4069.69,114923.0,4038.42
1013120041,"150 E 58th St, New York, NY 10155",461569.5,529736,0.871,SC9 Rate II (Large TOD),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3707687.0,132594.84,3932530.0,140635.7,2688998.0,96164.33,1462852.0,52314.72,1269818.0,45411.41,1323939.0,47346.9,1348862.0,48238.2,1246562.0,44579.73,1035062.0,37016.04,949793.0,33966.63,1129874.0,40406.72,2303094.0,82363.58,1592722.0,52214.26,1508894.0,51894.99,1425067.0,44269.93,1257412.0,39497.74,1173585.0,39317.59,1341239.0,51718.52,1508894.0,58645.69,1508894.0,60192.83,1341239.0,53011.22,1257412.0,40809.37,1341239.0,44747.66,1508894.0,46939.92
1013130005,"111 E 58th St, New York, NY 10022",459957.0,538141,0.855,SC9 Rate II (Large TOD),2515997.0,51611.27,2356478.0,48341.13,2139508.0,43893.25,940368.0,19310.88,683672.0,14048.61,589383.0,12115.68,646635.0,13289.35,653692.0,13434.02,1133433.0,23268.71,814284.0,16726.16,1669135.0,34250.6,2497921.0,51240.71,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1804759.0,59098.72,1649592.0,56687.22,1809607.0,56080.41,1722149.0,53910.67,1824584.0,60849.25,1949546.0,74947.55,2158037.0,83659.96,2245847.0,89346.43,2034397.0,80148.47,1939996.0,62690.43,1780444.0,59236.61,1792879.0,55679.98
1013130014,"722 Lexington Ave, New York, NY 10022",121464.0,130837,0.928,SC9 Rate I (Standard),13464.0,343.14,12478.0,318.19,12527.0,319.43,6932.0,177.88,5284.0,136.19,4819.0,124.42,5238.0,135.02,4991.0,128.77,4707.0,121.59,5723.0,147.29,10528.0,268.86,12808.0,326.54,405094.0,23070.68,378088.0,21532.65,324075.0,18456.53,216050.0,12304.36,108025.0,6152.18,54013.0,3076.12,54013.0,3076.12,54013.0,3076.12,81019.0,4614.15,162038.0,9228.29,270063.0,15380.47,378088.0,21532.65,296687.0,10134.38,280204.0,10045.35,280204.0,9107.47,263721.0,8680.3,263721.0,9224.02,280204.0,11201.47,296687.0,11934.13,296687.0,12238.34,280204.0,11471.53,263721.0,8955.4,263721.0,9201.4,280204.0,9125.19
1013150001,"655 3 Ave, New York, NY 10017",366528.0,384432,0.953,SC9 Rate I (Standard),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2335493.0,83522.24,2324871.0,83142.37,1610283.0,57587.17,1109677.0,39684.43,1114426.0,39854.26,1651101.0,59046.91,2165908.0,77457.51,2053433.0,73435.17,1663808.0,59501.34,1254170.0,44851.81,1032366.0,36919.62,1493409.0,53407.51,740274.0,24536.84,718992.0,24990.63,721353.0,22656.59,689458.0,21883.73,790050.0,26632.25,744225.0,28920.74,781046.0,30598.57,789627.0,31738.87,687628.0,27422.25,623271.0,20481.21,591358.0,20009.82,598001.0,18905.86
