bbl,bin,address,latitude,longitude,cooling_towers,water_tanks,total_equipment,has_building_outline
1005320015,1008619.0,661 BROADWAY,40.7273999,-73.9957102,2,0,2,True
1000460001,1001023.0,2 WALL STREET,40.7077305,-74.0113256,1,1,2,True
1005770034,1009716.0,8 WEST 14 STREET,40.7359416,-73.994674,1,1,2,True
1008390009,1015958.0,49 WEST 37 STREET,40.7515886,-73.985563,0,2,2,True
1007990012,1014948.0,155 WEST 23 STREET,40.743959,-73.994594,0,2,2,True
1013250001,1038464.0,845 3 AVENUE,40.7566194,-73.9697631,1,1,2,True
1007280060,1012836.0,442 WEST 31 STREET,40.752144,-73.9998592,0,2,2,True
1005440045,1082210.0,34 COOPER SQUARE,40.7283384,-73.9915934,0,2,2,True
1016080069,1051496.0,1216 5 AVENUE,40.7919657,-73.9522063,2,0,2,True
1008620013,1017011.0,15 EAST 32 STREET,40.7469087,-73.9843406,0,2,2,True
1008380012,1015922.0,53 WEST 36 STREET,40.7509025,-73.9858483,0,2,2,True
1005630031,1009134.0,817 BROADWAY,40.7331966,-73.9915242,1,1,2,True
1017750033,1054497.0,2322 3 AVENUE,40.8048798,-73.9355487,1,1,2,True
1005320015,1083504.0,661 BROADWAY,40.7273999,-73.9957102,1,1,2,True
1009030047,1088660.0,220 EAST 23 STREET,40.7381746,-73.9823796,0,2,2,True
1000200016,1000807.0,55 BROADWAY,40.7068548,-74.0130242,1,1,2,True
1008630029,1017083.0,33 EAST 33 STREET,40.7469908,-73.9826191,1,1,2,True
1013120024,1036908.0,145 EAST 57 STREET,40.7609448,-73.9684508,0,2,2,True
1008250012,1080677.0,49 WEST 23 STREET,40.7427621,-73.9913714,0,2,2,True
1008600045,1016967.0,450 PARK AVENUE SOUTH,40.7451107,-73.9832114,0,2,2,True
1005640034,1009208.0,826 BROADWAY,40.7332158,-73.9906691,1,1,2,True
1008230029,1015531.0,15 WEST 21 STREET,40.7410411,-73.9914294,0,2,2,True
1008590015,1016928.0,102 MADISON AVENUE,40.7449189,-73.9853732,0,2,2,True
1007870072,1014467.0,256 WEST 38 STREET,40.7541445,-73.9908538,0,2,2,True
1010040029,1023158.0,1285 AVENUE OF THE AMER,40.7611643,-73.9805325,2,0,2,True
1008090001,1015192.0,421 7 AVENUE,40.7503293,-73.9906739,1,1,2,True
1007830070,1014387.0,250 WEST 34 STREET,40.7512626,-73.9923737,2,0,2,True
1007860013,1014438.0,255 WEST 36 STREET,40.7532662,-73.9914675,0,2,2,True
1007860076,1014452.0,252 WEST 37 STREET,40.7535737,-73.9914386,0,2,2,True
1000200009,1000804.0,45 BROADWAY,40.7065418,-74.0132658,1,1,2,True
1007990067,1014966.0,148 WEST 24 STREET,40.7442444,-73.9945109,0,2,2,True
1000220013,1000811.0,26 BROADWAY,40.7054275,-74.0129013,2,0,2,True
1012950023,1036147.0,355 LEXINGTON AVENUE,40.7501599,-73.9764827,2,0,2,True
1008380072,1015951.0,40 WEST 37 STREET,40.7509765,-73.9852636,0,2,2,True
1008120069,1015249.0,148 WEST 37 STREET,40.7524893,-73.9888762,0,2,2,True
1013050040,1036457.0,830 3 AVENUE,40.7563891,-73.9707594,1,1,2,True
1007890030,1080570.0,205 WEST 39 STREET,40.7547098,-73.9888216,0,2,2,True
1007890030,1080571.0,205 WEST 39 STREET,40.7547098,-73.9888216,2,0,2,True
1008390070,1015981.0,42 WEST 38 STREET,40.751583,-73.984787,0,2,2,True
1013260001,1038517.0,875 3 AVENUE,40.7572176,-73.9691961,2,0,2,True
1000400014,1001005.0,48 WALL STREET,40.7064764,-74.0091216,2,0,2,True
1012610016,1034243.0,45 WEST 45 STREET,40.7563501,-73.9811295,0,2,2,True
1009960029,1080823.0,1133 AVENUE OF THE AMER,40.7560568,-73.9838656,2,0,2,True
1005230046,1008238.0,625 BROADWAY,40.7261621,-73.9967565,0,2,2,True
1008680010,1017228.0,7 EAST 38 STREET,40.7509293,-73.9816905,0,2,2,True
1012950017,1036145.0,354 LEXINGTON AVENUE,40.7504729,-73.9771647,1,1,2,True
1012950058,1036150.0,364 LEXINGTON AVENUE,40.7507364,-73.9770238,1,1,2,True
1014350044,1044217.0,306 EAST 61 STREET,40.7613603,-73.9628338,0,2,2,True
1005230048,1008240.0,18 WEST HOUSTON STREET,40.7258904,-73.9969874,1,1,2,True
1000670001,1079043.0,59 MAIDEN LANE,40.7086585,-74.0079821,2,0,2,True
1015160032,1048053.0,1550 3 AVENUE,40.7798346,-73.953699,0,2,2,True
1000220020,1000812.0,42 BROADWAY,40.7059875,-74.0125949,1,1,2,True
1008810001,1018102.0,351 PARK AVENUE SOUTH,40.7416608,-73.9848723,2,0,2,True
1001530001,1079215.0,280 BROADWAY,40.7142333,-74.0056525,2,0,2,True
1009980024,1022640.0,115 WEST 45 STREET,40.7572864,-73.9833708,0,2,2,True
1008800014,1018069.0,121 EAST 24 STREET,40.7406068,-73.9847174,1,1,2,True
1013220001,1038000.0,777 3 AVENUE,40.7547122,-73.9710922,1,1,2,True
1010040020,1023157.0,787 7 AVENUE,40.7616942,-73.9817958,1,0,1,True
1013050060,1036459.0,566 LEXINGTON AVENUE,40.7570757,-73.972405,1,0,1,True
1012630059,1034497.0,42 WEST 48 STREET,40.757898,-73.9801653,0,1,1,True
1014220005,1081219.0,205 EAST 67 STREET,40.7664021,-73.9619645,1,0,1,True
1008220031,1015499.0,154 5 AVENUE,40.7400448,-73.9912744,0,1,1,True
1012830017,1035420.0,400 MADISON AVENUE,40.7563768,-73.9769317,1,0,1,True
1009030047,1019662.0,220 EAST 23 STREET,40.7381746,-73.9823796,1,0,1,True
1010260032,1024854.0,848 7 AVENUE,40.7640711,-73.9814992,0,1,1,True
1012670041,1034517.0,650 5 AVENUE,40.7597693,-73.9768041,1,0,1,True
1004260029,1005719.0,195 CHRYSTIE STREET,40.7221573,-73.9923337,0,1,1,True
1010070029,1083720.0,1345 AVENUE OF THE AMER,40.7630634,-73.9792541,1,0,1,True
1012860043,1090748.0,34 EAST 51 STREET,40.7579435,-73.9744369,1,0,1,True
